,period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,Generation (MWh),value-units,timestamp
204,2023-12-20,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,185,megawatthours,2023-12-20
205,2023-12-20,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,376,megawatthours,2023-12-20
206,2023-12-20,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,32811,megawatthours,2023-12-20
207,2023-12-20,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10291,megawatthours,2023-12-20
208,2023-12-19,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,498,megawatthours,2023-12-19
209,2023-12-19,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,369,megawatthours,2023-12-19
210,2023-12-19,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10469,megawatthours,2023-12-19
211,2023-12-19,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,33419,megawatthours,2023-12-19
212,2023-12-18,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,9544,megawatthours,2023-12-18
213,2023-12-18,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,382,megawatthours,2023-12-18
214,2023-12-18,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,32923,megawatthours,2023-12-18
215,2023-12-18,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,379,megawatthours,2023-12-18
216,2023-12-17,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,291,megawatthours,2023-12-17
217,2023-12-17,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,375,megawatthours,2023-12-17
218,2023-12-17,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10329,megawatthours,2023-12-17
219,2023-12-17,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,34123,megawatthours,2023-12-17
220,2023-12-16,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,10340,megawatthours,2023-12-16
221,2023-12-16,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,379,megawatthours,2023-12-16
222,2023-12-16,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,1002,megawatthours,2023-12-16
223,2023-12-16,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,32879,megawatthours,2023-12-16
224,2023-12-15,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,9122,megawatthours,2023-12-15
225,2023-12-15,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,861,megawatthours,2023-12-15
