,timestamp,fromba,Power consumed locally (MWh)
767,2023-10-27,CISO,15787
768,2023-10-27,TIDC,610
769,2023-10-28,BPAT,0
770,2023-10-28,CISO,7126
771,2023-10-28,TIDC,7395
772,2023-10-29,BPAT,0
773,2023-10-29,CISO,5474
774,2023-10-29,TIDC,7194
775,2023-10-30,BPAT,0
776,2023-10-30,CISO,20272
777,2023-10-30,TIDC,0
778,2023-10-31,BPAT,0
779,2023-10-31,CISO,22690
780,2023-10-31,TIDC,0
781,2023-11-01,BPAT,0
782,2023-11-03,BPAT,19080
783,2023-11-03,CISO,0
784,2023-11-04,BPAT,22940
785,2023-11-04,CISO,0
786,2023-11-05,BPAT,22940
787,2023-11-05,CISO,0
788,2023-11-08,BPAT,15898
789,2023-11-08,CISO,661
790,2023-11-08,TIDC,0
791,2023-11-09,BPAT,5687
792,2023-11-09,CISO,7568
793,2023-11-09,TIDC,0
794,2023-11-10,BPAT,25260
795,2023-11-10,CISO,0
796,2023-11-10,TIDC,0
797,2023-11-11,BPAT,29764
798,2023-11-11,CISO,0
799,2023-11-11,TIDC,0
800,2023-11-12,BPAT,20311
801,2023-11-12,CISO,0
802,2023-11-12,TIDC,0
803,2023-11-13,BPAT,25446
804,2023-11-13,CISO,0
805,2023-11-13,TIDC,0
806,2023-11-14,BPAT,0
807,2023-11-14,CISO,21639
808,2023-11-14,TIDC,0
809,2023-11-15,BPAT,0
810,2023-11-15,CISO,16826
811,2023-11-15,TIDC,228
812,2023-11-16,BPAT,1922
813,2023-11-16,CISO,9911
814,2023-11-16,TIDC,0
815,2023-11-17,BPAT,364
816,2023-11-17,CISO,15407
817,2023-11-17,TIDC,0
818,2023-11-18,BPAT,0
819,2023-11-18,CISO,26607
820,2023-11-18,TIDC,0
821,2023-11-19,BPAT,18967
822,2023-11-19,CISO,0
823,2023-11-19,TIDC,0
824,2023-11-20,BPAT,0
825,2023-11-20,CISO,22387
826,2023-11-20,TIDC,0
827,2023-11-21,BPAT,0
828,2023-11-21,CISO,21915
829,2023-11-21,TIDC,0
830,2023-11-22,BPAT,0
831,2023-11-22,CISO,7807
832,2023-11-22,TIDC,0
833,2023-11-23,BPAT,0
834,2023-11-23,CISO,17290
835,2023-11-23,TIDC,0
836,2023-11-24,BPAT,0
837,2023-11-24,CISO,24424
838,2023-11-24,TIDC,0
839,2023-11-25,BPAT,0
840,2023-11-25,CISO,26674
841,2023-11-25,TIDC,0
842,2023-11-26,BPAT,0
843,2023-11-26,CISO,23394
844,2023-11-26,TIDC,43
845,2023-11-27,BPAT,0
846,2023-11-27,CISO,23416
847,2023-11-27,TIDC,0
848,2023-11-28,BPAT,0
849,2023-11-28,CISO,24708
850,2023-11-28,TIDC,0
851,2023-11-29,BPAT,0
852,2023-11-29,CISO,22563
853,2023-11-29,TIDC,469
